0,0.625,0.741
0,0.625,0.741
0,0.625,0.741
0,0.662,0.807
0,0.699,0.865
0,0.734,0.914
0,0.768,0.953
0,0.8,0.98
0,0.831,0.996
0,0.859,1
0,0.885,0.991
0,0.909,0.97
0,0.93,0.938
0,0.949,0.895
0,0.965,0.842
0,0.978,0.781
0,0.988,0.712
0,0.995,0.639
0,0.999,0.562
0,1,0.484
0,0.998,0.406
0,0.993,0.33
0,0.984,0.259
0,0.973,0.193
0,0.959,0.135
0,0.942,0.086
0,0.922,0.047
0,0.9,0.02
0,0.875,0.004
0,0.848,0
0,0.819,0.009
0,0.787,0.03
0,0.754,0.062
0,0.72,0.105
0,0.684,0.158
0,0.647,0.219
0,0.609,0.288
0,0.57,0.361
0,0.531,0.438
0,0.492,0.516
0,0.453,0.594
0,0.414,0.67
0,0.375,0.741
0,0.338,0.807
0,0.301,0.865
0,0.266,0.914
0,0.232,0.953
0,0.2,0.98
0,0.169,0.996
0,0.141,1
0,0.115,0.991
0,0.091,0.97
0,0.069,0.938
0,0.051,0.895
0,0.035,0.842
0,0.022,0.781
0,0.012,0.712
0,0.005,0.639
0,0.001,0.562
0,0,0.484
0,0.002,0.406
0,0.008,0.33
0,0.016,0.259
0,0.027,0.193
0,0.041,0.135
0,0.058,0.086
0,0.078,0.047
0,0.1,0.02
0,0.125,0.004
0,0.152,0
0,0.182,0.009
0,0.213,0.03
0,0.246,0.062
0,0.28,0.105
0,0.316,0.158
0,0.353,0.22
0,0.391,0.288
0,0.43,0.361
0,0.469,0.438
0,0.508,0.516
0,0.547,0.594
0,0.586,0.67
0,0.625,0.741
0,0.662,0.807
0,0.699,0.865
0,0.734,0.914
0,0.768,0.953
0,0.8,0.98
0,0.831,0.996
0,0.859,1
0,0.886,0.991
0,0.909,0.97
0,0.931,0.938
0,0.949,0.895
0,0.965,0.842
0,0.978,0.78
0,0.988,0.712
0,0.995,0.639
0,0.999,0.562
0,1,0.483
0,0.998,0.405
0,0.992,0.33
0,0.984,0.258
0,0.973,0.193
0,0.959,0.135
0,0.942,0.086
0,0.922,0.047
0,0.9,0.02
0,0.875,0.004
0,0.848,0
0,0.818,0.009
0,0.787,0.03
0,0.754,0.062
0,0.72,0.106
0,0.684,0.158
0,0.647,0.22
0,0.609,0.288
0,0.57,0.361
0,0.531,0.438
0,0.492,0.517
0,0.452,0.595
0,0.414,0.67
0,0.375,0.742
0,0.338,0.807
0,0.301,0.865
0,0.266,0.914
0,0.232,0.953
0,0.199,0.98
0,0.169,0.996
0,0.141,1
0,0.114,0.991
0,0.091,0.97
0,0.069,0.938
0,0.051,0.894
0,0.035,0.842
0,0.022,0.78
0,0.012,0.712
0,0.005,0.638
0,0.001,0.562
0,0,0.483
0,0.002,0.405
0,0.008,0.33
0,0.016,0.258
0,0.027,0.193
0,0.041,0.135
0,0.058,0.086
0,0.078,0.047
0,0.1,0.02
0,0.125,0.004
0,0.152,0
0,0.182,0.009
0,0.213,0.03
0,0.246,0.062
0,0.281,0.106
0,0.316,0.159
0,0.354,0.22
0,0.391,0.288
0,0.43,0.362
0,0.469,0.438
0,0.508,0.517
0,0.548,0.595
0,0.587,0.67
0,0.625,0.742
0,0.662,0.807
0,0.699,0.865
0,0.734,0.914
0,0.768,0.953
0,0.801,0.98
0,0.831,0.996
0,0.859,1
0,0.886,0.991
0,0.909,0.97
0,0.931,0.938
